pullback_threshold,rsi_period,atr_sl_multiplier,atr_tp_multiplier,Total Trades,Total Return [%],Win Rate [%],Sharpe Ratio,Max Drawdown [%]
0.0300,7,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0300,7,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0300,7,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0300,7,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0300,7,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0300,7,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0300,7,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0300,7,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0300,7,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0300,10,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0300,10,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0300,10,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0300,10,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0300,10,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0300,10,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0300,10,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0300,10,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0300,10,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0300,14,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0300,14,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0300,14,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0300,14,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0300,14,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0300,14,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0300,14,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0300,14,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0300,14,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0500,7,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0500,7,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0500,7,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0500,7,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0500,7,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0500,7,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0500,7,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0500,7,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0500,7,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0500,10,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0500,10,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0500,10,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0500,10,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0500,10,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0500,10,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0500,10,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0500,10,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0500,10,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0500,14,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0500,14,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0500,14,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0500,14,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0500,14,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0500,14,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0500,14,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0500,14,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0500,14,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0700,7,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0700,7,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0700,7,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0700,7,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0700,7,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0700,7,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0700,7,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0700,7,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0700,7,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0700,10,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0700,10,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0700,10,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0700,10,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0700,10,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0700,10,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0700,10,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0700,10,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0700,10,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
0.0700,14,1.8000,3.5000,34,3.3919,50.0000,0.6419,11.0931
0.0700,14,1.8000,4.0000,32,7.8559,46.8750,1.2460,10.7422
0.0700,14,1.8000,4.5000,31,13.5890,48.3871,1.9738,10.7422
0.0700,14,2.0000,3.5000,29,17.7363,55.1724,2.3540,7.4192
0.0700,14,2.0000,4.0000,29,23.5539,55.1724,2.9517,7.4192
0.0700,14,2.0000,4.5000,27,27.8937,55.5556,3.3993,7.4192
0.0700,14,2.2000,3.5000,29,13.4667,55.1724,1.8197,10.2713
0.0700,14,2.2000,4.0000,29,19.0041,55.1724,2.4085,8.8147
0.0700,14,2.2000,4.5000,27,23.1841,55.5556,2.8480,8.1897
